milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
0,-983040,57,-56,-1,-1,0
33,-1048576,57,-56,-1,-1,0
66,-786432,57,-56,-1,-1,0
100,-983040,57,-56,-1,-1,0
133,-1245184,57,-56,-1,-1,0
166,2490368,57,-56,-1,-1,0
200,1638400,57,-56,-1,-1,0
233,-589824,57,-56,-1,-1,0
266,-524288,57,-56,-1,-1,0
300,0,57,-56,-1,-1,0
333,589824,57,-56,-1,-1,0
366,2031616,57,-56,-1,-1,0
400,3014656,57,-56,-1,-1,0
433,786432,57,-56,-1,-1,0
466,-851968,57,-56,-1,-1,0
500,-1114112,57,-56,-1,-1,0
533,-786432,57,-56,-1,-1,0
566,-851968,57,-56,-1,-1,0
600,-720896,57,-56,-1,-1,0
633,-786432,57,-56,-1,-1,0
666,-917504,57,-56,-1,-1,0
700,-983040,57,-56,-1,-1,0
733,-917504,57,-56,-1,-1,0
766,-917504,57,-56,-1,-1,0
800,-851968,57,-56,-1,-1,0
833,-1245184,57,-56,-1,-1,0
866,-1703936,57,-56,-1,-1,0
900,12189696,57,-56,-1,-1,0
933,-393216,57,-56,-1,-1,0
966,-720896,57,-56,-1,-1,0
1000,-524288,57,-56,-1,-1,0
1033,0,57,-56,-1,-1,0
1066,1245184,57,-56,-1,-1,0
1100,2752512,57,-56,-1,-1,0
1133,1638400,57,-56,-1,-1,0
1166,-524288,57,-56,-1,-1,0
1200,-917504,57,-56,-1,-1,0
1233,-983040,57,-56,-1,-1,0
1266,-786432,57,-56,-1,-1,0
1300,-720896,57,-56,-1,-1,0
1333,-917504,57,-56,-1,-1,0
1366,-983040,57,-56,-1,-1,0
1400,-1114112,57,-56,-1,-1,0
1433,-1114112,57,-56,-1,-1,0
1466,-1114112,57,-56,-1,-1,0
1500,-1114112,57,-56,-1,-1,0
1533,-851968,57,-56,-1,-1,0
1566,-1179648,57,-56,-1,-1,0
1600,-1179648,57,-56,-1,-1,0
1633,7077888,57,-56,-1,-1,0
1666,393216,57,-56,-1,-1,0
1700,-655360,57,-56,-1,-1,0
1733,-458752,57,-56,-1,-1,0
1766,-65536,57,-56,-1,-1,0
1800,589824,57,-56,-1,-1,0
1833,2162688,57,-56,-1,-1,0
1866,2752512,57,-56,-1,-1,0
1900,327680,57,-56,-1,-1,0
1933,-458752,57,-56,-1,-1,0
1966,-524288,57,-56,-1,-1,0
2000,-393216,57,-56,-1,-1,0
2033,-327680,57,-56,-1,-1,0
2066,-327680,57,-56,-1,-1,0
2100,-393216,57,-56,-1,-1,0
2133,-524288,57,-56,-1,-1,0
2166,-524288,57,-56,-1,-1,0
2200,-524288,57,-56,-1,-1,0
2233,-524288,57,-56,-1,-1,0
2266,-655360,57,-56,-1,-1,0
2300,-655360,57,-56,-1,-1,0
2333,-655360,57,-56,-1,-1,0
2366,-524288,57,-56,-1,-1,0
2400,-524288,57,-56,-1,-1,0
2433,-655360,57,-56,-1,-1,0
2466,-786432,57,-56,-1,-1,0
2500,-1048576,57,-56,-1,-1,0
2533,-1179648,57,-56,-1,-1,0
2566,2162688,57,-56,-1,-1,0
2600,2293760,57,-56,-1,-1,0
2633,-720896,57,-56,-1,-1,0
2666,-655360,57,-56,-1,-1,0
2700,-327680,57,-56,-1,-1,0
2733,262144,57,-56,-1,-1,0
2766,1507328,57,-56,-1,-1,0
2800,2490368,57,-56,-1,-1,0
2833,917504,57,-56,-1,-1,0
2866,-458752,57,-56,-1,-1,0
2900,-524288,54,-56,-1,-1,0
2933,-327680,54,-56,-1,-1,0
2966,-393216,54,-56,-1,-1,0
3000,-458752,54,-56,-1,-1,0
3033,-589824,54,-56,-1,-1,0
3066,-720896,54,-56,-1,-1,0
3100,-786432,54,-56,-1,-1,0
3133,-786432,54,-56,-1,-1,0
3166,-786432,54,-56,-1,-1,0
3200,-786432,54,-56,-1,-1,0
3233,-851968,54,-56,-1,-1,0
3266,-851968,54,-56,-1,-1,0
3300,-917504,54,-56,-1,-1,0
3333,-917504,54,-56,-1,-1,0
3366,-917504,54,-56,-1,-1,0
3400,-917504,54,-56,-1,-1,0
3433,-720896,54,-56,-1,-1,0
3466,-1048576,54,-56,-1,-1,0
3500,-1507328,54,-56,-1,-1,0
3533,13369344,54,-56,-1,-1,0
3566,-131072,54,-56,-1,-1,0
3600,-524288,54,-56,-1,-1,0
3633,-393216,54,-56,-1,-1,0
3666,131072,54,-56,-1,-1,0
3699,1179648,54,-56,-1,-1,0
3733,2686976,54,-56,-1,-1,0
3766,2097152,53,-56,-1,-1,0
3800,-196608,53,-56,-1,-1,0
3833,-786432,53,-56,-1,-1,0
3866,-589824,53,-56,-1,-1,0
3900,-589824,53,-56,-1,-1,0
3933,-524288,53,-56,-1,-1,0
3966,-655360,53,-56,-1,-1,0
4000,-786432,53,-56,-1,-1,0
4033,-851968,53,-56,-1,-1,0
4066,-851968,53,-56,-1,-1,0
4100,-917504,53,-56,-1,-1,0
4133,-917504,53,-56,-1,-1,0
4166,-917504,53,-56,-1,-1,0
4200,-917504,53,-56,-1,-1,0
4233,-917504,53,-56,-1,-1,0
4266,-851968,53,-56,-1,-1,0
4300,-720896,53,-56,-1,-1,0
4333,-983040,53,-56,-1,-1,0
4366,-1441792,53,-56,-1,-1,0
4400,11862016,53,-56,-1,-1,0
4433,-262144,53,-56,-1,-1,0
4466,-589824,53,-56,-1,-1,0
4500,-327680,53,-56,-1,-1,0
4533,131072,53,-56,-1,-1,0
4566,1310720,53,-56,-1,-1,0
4600,2752512,53,-56,-1,-1,0
4633,1769472,55,-56,-1,-1,0
4666,-327680,55,-56,-1,-1,0
4700,-720896,55,-56,-1,-1,0
4733,-655360,55,-56,-1,-1,0
4766,-524288,55,-56,-1,-1,0
4800,-589824,55,-56,-1,-1,0
4833,-655360,55,-56,-1,-1,0
4866,-786432,55,-56,-1,-1,0
4900,-851968,55,-56,-1,-1,0
4933,-851968,55,-56,-1,-1,0
4966,-917504,55,-56,-1,-1,0
5000,-917504,55,-56,-1,-1,0
5033,-983040,55,-56,-1,-1,0
5066,-851968,55,-56,-1,-1,0
5100,-917504,55,-56,-1,-1,0
5133,-524288,55,-56,-1,-1,0
5166,-917504,55,-56,-1,-1,0
5200,-1048576,55,-56,-1,-1,0
5233,10747904,55,-56,-1,-1,0
5266,327680,55,-56,-1,-1,0
5300,-589824,55,-56,-1,-1,0
5333,-393216,55,-56,-1,-1,0
5366,-65536,55,-56,-1,-1,0
5400,655360,55,-56,-1,-1,0
5433,2097152,55,-56,-1,-1,0
5466,2555904,55,-56,-1,-1,0
5500,196608,56,-56,-1,-1,0
5533,-589824,56,-56,-1,-1,0
5566,-589824,56,-56,-1,-1,0
5600,-524288,56,-56,-1,-1,0
5633,-458752,56,-56,-1,-1,0
5666,-524288,56,-56,-1,-1,0
5700,-655360,56,-56,-1,-1,0
5733,-786432,56,-56,-1,-1,0
5766,-851968,56,-56,-1,-1,0
5800,-851968,56,-56,-1,-1,0
5833,-851968,56,-56,-1,-1,0
5866,-851968,56,-56,-1,-1,0
5900,-851968,56,-56,-1,-1,0
5933,-851968,56,-56,-1,-1,0
5966,-851968,56,-56,-1,-1,0
6000,-786432,56,-56,-1,-1,0
6033,-720896,56,-56,-1,-1,0
6066,-851968,56,-56,-1,-1,0
6100,-1179648,56,-56,-1,-1,0
6133,10878976,56,-56,-1,-1,0
6166,-327680,56,-56,-1,-1,0
6200,-524288,56,-56,-1,-1,0
6233,-327680,56,-56,-1,-1,0
6266,131072,56,-56,-1,-1,0
6300,1245184,56,-56,-1,-1,0
6333,2555904,56,-56,-1,-1,0
6366,1507328,56,-56,-1,-1,0
6400,-458752,56,-56,-1,-1,0
6433,-851968,56,-56,-1,-1,0
6466,-786432,56,-56,-1,-1,0
6500,-655360,56,-56,-1,-1,0
6533,-655360,56,-56,-1,-1,0
6566,-786432,56,-56,-1,-1,0
6600,-917504,56,-56,-1,-1,0
6633,-851968,56,-56,-1,-1,0
6666,-851968,56,-56,-1,-1,0
6700,-917504,56,-56,-1,-1,0
6733,-917504,56,-56,-1,-1,0
6766,-917504,56,-56,-1,-1,0
6800,-983040,56,-56,-1,-1,0
6833,-851968,56,-56,-1,-1,0
6866,-851968,56,-56,-1,-1,0
6899,-1048576,56,-56,-1,-1,0
6933,-1507328,56,-56,-1,-1,0
6966,12255232,56,-56,-1,-1,0
7000,-196608,56,-56,-1,-1,0
7033,-524288,56,-56,-1,-1,0
7066,-262144,56,-56,-1,-1,0
7100,262144,56,-56,-1,-1,0
7133,1376256,56,-56,-1,-1,0
7166,3014656,58,-56,-1,-1,0
7200,2031616,58,-56,-1,-1,0
7233,-196608,58,-56,-1,-1,0
7266,-786432,58,-56,-1,-1,0
7300,-655360,58,-56,-1,-1,0
7333,-589824,58,-56,-1,-1,0
7366,-458752,58,-56,-1,-1,0
7399,-786432,58,-56,-1,-1,0
7433,-917504,58,-56,-1,-1,0
7466,-917504,58,-56,-1,-1,0
7500,-917504,58,-56,-1,-1,0
7533,-917504,58,-56,-1,-1,0
7566,-983040,58,-56,-1,-1,0
7600,-1048576,58,-56,-1,-1,0
7633,-1114112,58,-56,-1,-1,0
7666,-983040,58,-56,-1,-1,0
7700,-1048576,58,-56,-1,-1,0
7733,-1114112,58,-56,-1,-1,0
7766,-851968,58,-56,-1,-1,0
7800,7864320,58,-56,-1,-1,0
7833,-458752,58,-56,-1,-1,0
7866,-458752,58,-56,-1,-1,0
7899,-262144,58,-56,-1,-1,0
7933,327680,58,-56,-1,-1,0
7966,1703936,58,-56,-1,-1,0
8000,3145728,58,-56,-1,-1,0
8033,1703936,58,-56,-1,-1,0
8066,65536,58,-56,-1,-1,0
8100,-65536,58,-56,-1,-1,0
8133,-65536,58,-56,-1,-1,0
8166,-131072,58,-56,-1,-1,0
8200,-131072,58,-56,-1,-1,0
8233,-393216,58,-56,-1,-1,0
8266,-524288,58,-56,-1,-1,0
8300,-720896,58,-56,-1,-1,0
