milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
0,-589824,90,-56,-1,-1,0
33,-524288,90,-56,-1,-1,0
66,-1114112,90,-56,-1,-1,0
100,-1114112,90,-56,-1,-1,0
133,-1441792,90,-56,-1,-1,0
166,-1638400,90,-56,-1,-1,0
200,-1376256,90,-56,-1,-1,0
233,0,90,-56,-1,-1,0
266,-4259840,90,-56,-1,-1,0
300,-1638400,90,-56,-1,-1,0
333,-917504,90,-56,-1,-1,0
366,-196608,90,-56,-1,-1,0
400,1114112,90,-56,-1,-1,0
433,3866624,90,-56,-1,-1,0
466,3014656,90,-56,-1,-1,0
500,-65536,90,-56,-1,-1,0
533,-589824,90,-56,-1,-1,0
566,-1048576,90,-56,-1,-1,0
600,-1572864,90,-56,-1,-1,0
633,-1572864,90,-56,-1,-1,0
666,-1900544,90,-56,-1,-1,0
700,-851968,91,-56,-1,-1,0
733,-1835008,91,-56,-1,-1,0
766,9175040,91,-56,-1,-1,0
800,-3211264,91,-56,-1,-1,0
833,-1703936,91,-56,-1,-1,0
866,-1179648,91,-56,-1,-1,0
900,65536,91,-56,-1,-1,0
933,2686976,91,-56,-1,-1,0
966,4194304,91,-56,-1,-1,0
1000,1900544,91,-56,-1,-1,0
1033,-262144,91,-56,-1,-1,0
1066,-458752,91,-56,-1,-1,0
1100,-917504,91,-56,-1,-1,0
1133,-1376256,91,-56,-1,-1,0
1166,-1179648,91,-56,-1,-1,0
1200,-2031616,91,-56,-1,-1,0
1233,-589824,92,-56,-1,-1,0
1266,-1376256,92,-56,-1,-1,0
1300,8912896,92,-56,-1,-1,0
1333,-3080192,92,-56,-1,-1,0
1366,-1048576,92,-56,-1,-1,0
1400,-458752,92,-56,-1,-1,0
1433,458752,92,-56,-1,-1,0
1466,2818048,92,-56,-1,-1,0
1500,4784128,92,-56,-1,-1,0
1533,2424832,92,-56,-1,-1,0
1566,0,92,-56,-1,-1,0
1600,-589824,92,-56,-1,-1,0
1633,-983040,92,-56,-1,-1,0
1666,-1179648,92,-56,-1,-1,0
1700,-1638400,92,-56,-1,-1,0
1733,-2031616,92,-56,-1,-1,0
1766,-1441792,92,-56,-1,-1,0
1800,-1638400,92,-56,-1,-1,0
1833,2359296,92,-56,-1,-1,0
1866,-6422528,92,-56,-1,-1,0
1900,-1966080,92,-56,-1,-1,0
